OBJECTID,formal_name,centroid_x,centroid_y,street_address,lattitude,longitude,SHAPE_Length,SHAPE_Area
16,Campus Bike Shop,428861.14901428,4512521.33232642,1628 E Campus Center Dr,40.7605798,-111.8428217,24.322281975555452,36.97075890722283
39,S.J. Quinney College of Law,428133.98483502,4512599.5150938,383 S University St,40.7612208,-111.8514449,281.4649247479785,2691.993665822132
40,Mineral Processing Lab,428693.24545775,4513182.06503747,126 S Central Campus Dr,40.7665169,-111.8448861,85.6204070891472,288.88793598755706
41,Mining Systems Research Lab,428721.90777376,4513196.17992184,128 S Central Campus Dr,40.7666465,-111.8445482,154.54625010169036,1011.5090530724104
42,Experimental Studies Building,428700.72936093,4513129.77612554,160 S Central Campus Dr,40.7660466,-111.8447915,111.78053499989224,770.2718325712826
43,John and Marva Warnock Engineering Building,428659.16898981,4513314.55864853,72 S Central Campus Dr,40.7677074,-111.845305,610.8131327805253,4200.441251901014
44,Alice Sheets Marriott Center for Dance,428376.14257862,4512727.96194257,330 S 1500 E,40.762399,-111.8485909,241.5852480669086,2964.2376693561846
45,Life Science Building,428246.67531638,4512855.22561061,255 S 1400 E,40.763534,-111.8501393,164.9389464816176,882.9622061023989
46,Chemistry Cooling Tower,428233.73218698,4512728.9893656,,40.7623958,-111.8502781,71.90573720695038,306.6293120171415
47,High Temperature Water Plant,428939.66553952,4512508.60618838,1705 E South Campus Dr,40.760472,-111.8418901,186.20537613851852,1297.7930713308704
48,Recycling Center,428985.74249683,4512480.52270253,1725 E South Campus Dr,40.760223,-111.8413411,35.03490032780637,76.56159281508164
51,Buildings & Grounds Storage Shed #2,429068.6234706,4512490.73721514,,40.7603222,-111.8403604,41.74482206683941,89.22402983058711
52,Buildings & Grounds Storage Shed #1,429057.83957177,4512506.6309765,,40.7604644,-111.84049,41.498310935586105,89.6186118165804
53,Motor Pool Gas Station,429106.14980778,4512536.54562582,1785 E South Campus Dr,40.760738,-111.8399211,11.940968054344308,8.439423682824557
54,Motor Pool Building,429076.0396225,4512518.01720126,1775 E South Campus Dr,40.7605685,-111.8402757,195.81302099560375,1803.404917548488
55,Buildings & Grounds,429044.59599778,4512496.72705802,1755 E South Campus Dr,40.760374,-111.8406457,193.8793853532415,1722.9751713132723
56,Physical Plant Services,428997.37291963,4512560.40712629,1745 E South Campus Dr,40.7609436,-111.8412124,127.47311702213052,733.8673978493508
57,Public Safety Storage Shed,429030.32096002,4512458.55793731,,40.760029,-111.8408105,13.486058277146329,11.27238645223801
58,George S. Eccles 2002 Legacy Bridge,429336.01378508,4513004.52668208,228 S Mario Capecchi Dr,40.7649731,-111.8372508,120.54854141316868,535.2548635134776
59,Joseph F. Merrill Engineering Building,428589.26546927,4513408.04870375,50 S Central Campus Dr,40.7685435,-111.8461438,353.78970697378685,7383.466569892551
60,Floyd and Jeri Meldrum Civil Engineering Building,428641.19790312,4513237.48535541,110 S Central Campus Dr,40.7670116,-111.8455091,306.97238171492523,3625.7254853290497
61,C. Roland Christensen Center,428769.95705887,4512599.27459277,1637 E Campus Center Dr,40.761274,-111.8439109,244.69124626957043,2024.8862087272933
62,Sculpture Building,428706.93751856,4512505.7747327,405 S 1530 E,40.7604263,-111.8446468,192.8161844234305,1492.460894979349
63,Marcia & John Price Museum Building,428821.5196312,4512484.57654934,410 S Campus Center Dr,40.7602453,-111.843287,295.18401591747346,3112.240641408399
64,Social and Behavioral Science Lecture Hall,428596.73303323,4512569.95129908,392 S 1530 E,40.7609948,-111.8459596,95.86720052478952,544.5795744904138
65,College of Social Work,428535.22720933,4512565.86501207,395 S 1500 E,40.7609527,-111.8466878,366.1008570937443,2682.7786934447763
66,Questar Gas Shed #1,429423.9238077,4512785.9451442,,40.7630119,-111.8361847,29.625714763044485,42.35720537193605
67,Roy W. & Elizabeth E. Simmons Pioneer Memorial Theatre,428166.69899269,4512771.65807213,300 S 1400 E,40.7627743,-111.8510771,240.95043048485687,2437.65262607671
68,Office Building 44,428388.64206934,4512809.34364641,290 S 1500 E,40.7631331,-111.8484522,87.63082093327678,452.2272369788436
69,Aline Wilmot Skaggs Biology Building,428370.19816674,4512870.72316331,259 S 1400 E,40.7636844,-111.8486777,324.89262402576367,3584.156714630316
70,Alfred C. Emery Building,428250.09938986,4512925.88812755,225 S 1400 E,40.7641708,-111.8501068,182.8623849510691,1058.7493412451695
71,Steam Generating Plant,428420.655441,4513092.65624168,172 S 1460 E,40.7656879,-111.8481054,61.86918624514489,230.73299631551924
72,McCarthey Family Track and Field Storage Building,429177.76400507,4513255.36294183,98 S Wasatch Dr,40.767219,-111.8391541,44.22039776108291,112.12614943405336
73,Golf Pro Shop,428828.12112696,4513348.64252619,70 S Central Campus Dr,40.7680291,-111.8433072,39.90271365588098,77.59983441269908
74,James LeVoy Sorenson Molecular Biotechnology Building - A USTAR Innovation  Center,428929.64566886,4513449.09129501,36 S Wasatch Dr,40.7689427,-111.8421158,526.8292366535557,4809.667501828765
75,Office of Sponsored Projects,428384.24297934,4513381.22711881,1471 E Federal Way,40.768284,-111.8485698,66.87335663487181,187.5784431024719
76,Fine Arts West,428015.04312204,4512819.34361455,274 S University St,40.7631906,-111.8528793,213.75868971688504,1478.5029272074466
85,Cauldron Legacy Plaza Visitors Center,428273.72687205,4512333.18684492,491 S 1400 E,40.7588343,-111.8497591,104.93172891907815,598.151114599791
111,David P. Gardner Hall,428115.15160632,4513152.96966125,1375 E Presidents Cir,40.7662045,-111.8517317,351.5546531934976,4716.345217615487
112,James Talmage Building,428301.47423006,4512955.05909941,1430 E Presidents Cir,40.7644381,-111.8495015,125.51996986477438,860.5719124374907
113,Cowles Cooling Tower,428280.83693413,4513140.04018693,,40.7661025,-111.8497673,24.7701300294161,38.34188191135664
157,Beverley Taylor Sorenson Arts & Education Complex,428973.81244535,4512772.19196422,1720 E Campus Center Dr,40.7628492,-111.8415156,464.1579049087728,3674.4929715190615
158,HPER Natatorium,429112.15185788,4512824.34153515,270 S 1850 E,40.7633309,-111.8398826,214.69794540559027,2584.615107848125
159,Skaggs Cooling Tower,428408.04794689,4512861.90193893,,40.7636082,-111.8482286,49.17952450104842,105.2954013071449
160,Building 124,428331.29025845,4512936.54864089,1450 E Presidents Cir,40.7642739,-111.8491462,54.23572801180916,149.10442193516172
161,Thatcher Building for Biological & Biophysical Chemistry,428285.35123903,4512653.83434683,351 S 1400 E,40.7617233,-111.849658,257.0449467672121,2088.3589045243807
165,Civil and Materials Engineering,428599.25899465,4513179.47403221,122 S Central Campus Dr,40.7664854,-111.8459993,149.6218519562263,871.0791330209402
188,John R. Park Building,428362.07123552,4513017.65934865,201 S Presidents Cir,40.7650072,-111.8487908,231.47290672175689,1813.4218835147556
