OBJECTID,LOTNAME,StallCount,Shape_Length,Shape_Area,lattitude,longitude
1,Social Work,175,926.1077570940632,6781.105751942037,40.76047615,-111.8457732
3,Union North,103,301.8841213012772,4360.543339930407,40.7664099,-111.8461272
4,Student Services,77,758.1012679594377,4410.863741731933,40.76553734,-111.8475873
10,West Stadium,887,843.5493350094456,27366.58391880383,40.75964557,-111.8510534
11,Chemistry,94,384.3280444684811,3238.4943922818484,40.76184712,-111.8487463
13,Marriott Library,340,1571.6613946402013,12545.31710856838,40.76239342,-111.847587
14,Sculpture,50,590.1934886901838,3190.083555300801,40.76021823,-111.8443649
20,Huntsman South,44,324.75138210411274,1712.5329557963505,40.76146288,-111.8381891
23,Warnock Engineering,36,893.7462307866284,4476.776411970758,40.76650879,-111.8450367
25,Fine Arts West,12,165.4548470116074,696.8713800050754,40.76343596,-111.8532355
26,Gardner Hall,9,268.2020676313228,1249.651223644332,40.76679045,-111.8514649
28,HEDCO,103,241.2857179871387,2716.6166598906425,40.76612338,-111.8456363
59,Student Life,34,323.8611139811046,1905.8844285251105,40.76545653,-111.8375496
70,Business,299,2576.433825414077,16910.51684933285,40.76108824,-111.8425409
79,East Stadium,279,593.8124360004442,8129.143649434998,40.75947206,-111.8460659
87,Law,341,1438.7967678398734,12807.09948635812,40.76183744,-111.850429
94,Merrill Engineering,1046,1287.5752548735964,31182.6331907852,40.77022927,-111.8462263
621,Alumni,269,1447.395481256735,9560.91860444294,40.766834,-111.8437108
623,Sorenson,514,2160.059247654442,15753.51014668229,40.76930197,-111.8441186
627,Kennecott,175,936.9103602014284,6162.313516113156,40.7678793,-111.8480301
19022,Presidents Circle,210,2117.0087672407217,11460.310714439956,40.76505561,-111.849477
24464,Central Garage,184,769.7779210937621,5529.648233973238,40.76164289,-111.8414329
24958,Central Garage,209,856.961849546379,6040.930095502244,40.76164289,-111.8414329
25358,Central Garage,212,850.0945599208718,5991.601616215429,40.76164289,-111.8414329
25769,Central Garage,183,777.4539030898997,5416.619968188197,40.76164289,-111.8414329
27740,Northwest Garage,15,133.0516409639403,530.8115469193104,40.76639168,-111.8487693
27741,Northwest Garage,82,442.5295256597132,2573.4416592705124,40.76639168,-111.8487693
27743,Northwest Garage,87,398.7567030355044,2567.153033072272,40.76639168,-111.8487693
28043,Northwest Garage,88,401.9347332879756,2576.0099694591668,40.76639168,-111.8487693
28146,Northwest Garage,45,230.3196753430438,1304.4103747518811,40.76639168,-111.8487693
28223,Tanner Dance,71,910.147674062654,5596.460464276705,40.76188585,-111.8404306
36226,Marriott South,49,684.6006169000879,3714.5374573933295,40.76173022,-111.8467084
51036,Huntsman East,345,2196.99832026996,15017.87721459173,40.76307923,-111.8374067
51836,Huntsman West,108,845.1167894596897,6094.511710829584,40.76081929,-111.8395905
51837,University Services,135,969.5576529842984,7675.130152823395,40.7611466,-111.8406582
59043,Soccer,220,1292.1803225600222,6789.786039185519,40.76748713,-111.8398083
61443,Naval Science,68,622.9887741934381,3645.3891086350777,40.76608434,-111.8494079
62243,Union East,315,2588.6985242639494,15662.382366560149,40.765003,-111.8443877
63044,USTAR,222,943.8578686660052,7984.724523224736,40.77055754,-111.843232
65847,Broadcast Center,812,3892.47024510116,27510.015951931146,40.76906066,-111.8393496
75084,HPER Sports,230,1211.164730831311,10158.8185992218,40.76502741,-111.8421128
