OBJECTID,LOTNAME,StallCount,Shape_Length,Shape_Area,lattitude,longitude
1,Social Work,175,926.1077571,6781.105752,40.76047615,-111.8457732
3,Union North,103,301.8841213,4360.54334,40.76551563,-111.8464372
4,Student Services,77,758.101268,4410.863742,40.76553734,-111.8475873
10,West Stadium,887,843.549335,27366.58392,40.75964557,-111.8510534
11,Chemistry,94,384.3280445,3238.494392,40.76184712,-111.8487463
13,Marriott Library,340,1571.661395,12545.31711,40.76239342,-111.847587
14,Sculpture,50,590.1934887,3190.083555,40.76021823,-111.8443649
20,Huntsman South,44,324.7513821,1712.532956,40.76146288,-111.8381891
23,Warnock Engineering,36,893.7462308,4476.776412,40.76650879,-111.8450367
25,Fine Arts West,12,165.454847,696.87138,40.76343596,-111.8532355
26,Gardner Hall,9,268.2020676,1249.651224,40.76679045,-111.8514649
28,HEDCO,103,241.285718,2716.61666,40.76612338,-111.8456363
59,Student Life,34,323.861114,1905.884429,40.76545653,-111.8375496
70,Business,299,2576.433825,16910.51685,40.76108824,-111.8425409
79,East Stadium,279,593.812436,8129.143649,40.75947206,-111.8460659
87,Law,341,1438.796768,12807.09949,40.76183744,-111.850429
94,Merrill Engineering,1046,1287.575255,31182.63319,40.77022927,-111.8462263
621,Alumni,269,1447.395481,9560.918604,40.766834,-111.8437108
623,Sorenson,514,2160.059248,15753.51015,40.76930197,-111.8441186
627,Kennecott,175,936.9103602,6162.313516,40.7678793,-111.8480301
19022,Presidents Circle,210,2117.008767,11460.31071,40.76505561,-111.849477
24464,Central Garage,184,769.7779211,5529.648234,40.76164289,-111.8414329
24958,Central Garage,209,856.9618495,6040.930096,40.76164289,-111.8414329
25358,Central Garage,212,850.0945599,5991.601616,40.76164289,-111.8414329
25769,Central Garage,183,777.4539031,5416.619968,40.76164289,-111.8414329
27740,Northwest Garage,15,133.051641,530.8115469,40.76639168,-111.8487693
27741,Northwest Garage,82,442.5295257,2573.441659,40.76639168,-111.8487693
27743,Northwest Garage,87,398.756703,2567.153033,40.76639168,-111.8487693
28043,Northwest Garage,88,401.9347333,2576.009969,40.76639168,-111.8487693
28146,Northwest Garage,45,230.3196753,1304.410375,40.76639168,-111.8487693
28223,Tanner Dance,71,910.1476741,5596.460464,40.76188585,-111.8404306
36226,Marriott South,49,684.6006169,3714.537457,40.76173022,-111.8467084
51036,Huntsman East,345,2196.99832,15017.87721,40.76307923,-111.8374067
51836,Huntsman West,108,845.1167895,6094.511711,40.76081929,-111.8395905
51837,University Services,135,969.557653,7675.130153,40.7611466,-111.8406582
59043,Soccer,220,1292.180323,6789.786039,40.76748713,-111.8398083
61443,Naval Science,68,622.9887742,3645.389109,40.76608434,-111.8494079
62243,Union East,315,2588.698524,15662.38237,40.765003,-111.8443877
63044,USTAR,222,943.8578687,7984.724523,40.77055754,-111.843232
65847,Broadcast Center,812,3892.470245,27510.01595,40.76906066,-111.8393496
75084,HPER Sports,230,1211.164731,10158.8186,40.76502741,-111.8421128
